date,amount,category,entity,currency,gl_code,cost_center,source_file
2023-01-09,7159.37,Payroll,RIPPLING,USD,GL-3958,CC-17,mock_enterprise_spend.csv
2023-01-09,2068.35,Payroll,RIPPLING,USD,GL-1535,CC-51,mock_enterprise_spend.csv
2023-01-09,638.15,Travel & Expenses,MARRIOTT,USD,GL-3572,CC-12,mock_enterprise_spend.csv
2023-01-10,2323.75,Office Supplies,OFFICE DEPOT,USD,GL-5678,CC-87,mock_enterprise_spend.csv
2023-01-10,201791.03,Cloud Infrastructure,AZURE,USD,GL-8433,CC-85,mock_enterprise_spend.csv
2023-01-10,1967.01,Office Supplies,WBMASON,USD,GL-1416,CC-27,mock_enterprise_spend.csv
2023-01-10,962.29,Logistics,MAERSK,USD,GL-8129,CC-90,mock_enterprise_spend.csv
2023-01-10,523.71,SaaS,WORKDAY,USD,GL-3694,CC-27,mock_enterprise_spend.csv
2023-01-10,3719.0,Payroll,ADP,USD,GL-7934,CC-36,mock_enterprise_spend.csv
2023-01-10,49850.52,Marketing,MARKETO,USD,GL-6685,CC-39,mock_enterprise_spend.csv
2023-01-10,3492.56,Office Supplies,OFFICE DEPOT,USD,GL-4345,CC-60,mock_enterprise_spend.csv
2023-01-10,32800.96,Professional Services,MCKINSEY,USD,GL-5362,CC-65,mock_enterprise_spend.csv
2023-01-10,15020.62,Marketing,GOOGLE ADS,USD,GL-9155,CC-64,mock_enterprise_spend.csv
2023-01-10,823.2,Travel & Expenses,AMERICAN AIRLINES,USD,GL-1432,CC-85,mock_enterprise_spend.csv
2023-01-10,21713.7,Marketing,MARKETO,USD,GL-9818,CC-39,mock_enterprise_spend.csv
2023-01-11,13073.7,Marketing,LINKEDIN ADS,USD,GL-7749,CC-54,mock_enterprise_spend.csv
2023-01-11,1805.6,Office Supplies,OFFICE DEPOT,USD,GL-3598,CC-17,mock_enterprise_spend.csv
2023-01-12,994.89,SaaS,DOCUSIGN,USD,GL-4037,CC-61,mock_enterprise_spend.csv
2023-01-12,43996.03,Marketing,GOOGLE ADS,USD,GL-3824,CC-34,mock_enterprise_spend.csv
2023-01-12,2077.88,Office Supplies,AMAZON BUSINESS,USD,GL-3432,CC-37,mock_enterprise_spend.csv
2023-01-12,730.73,Office Supplies,OFFICE DEPOT,USD,GL-3166,CC-23,mock_enterprise_spend.csv
2023-01-13,4152.11,Travel & Expenses,MARRIOTT,USD,GL-1382,CC-98,mock_enterprise_spend.csv
2023-01-13,2879.34,SaaS,DOCUSIGN,USD,GL-3787,CC-82,mock_enterprise_spend.csv
2023-01-13,4491.96,Travel & Expenses,LYFT,USD,GL-4498,CC-34,mock_enterprise_spend.csv
2023-01-13,4809.39,Office Supplies,OFFICE DEPOT,USD,GL-2512,CC-99,mock_enterprise_spend.csv
2023-01-13,36011.97,Legal,SKADDEN,USD,GL-3485,CC-18,mock_enterprise_spend.csv
2023-01-13,899.81,Logistics,RYDER,USD,GL-6698,CC-55,mock_enterprise_spend.csv
2023-01-13,32414.94,Professional Services,MCKINSEY,USD,GL-4595,CC-35,mock_enterprise_spend.csv
2023-01-13,25361.78,Legal,COOLEY,USD,GL-4664,CC-92,mock_enterprise_spend.csv
2023-01-13,94743.31,Cloud Infrastructure,DATADOG,USD,GL-5233,CC-22,mock_enterprise_spend.csv
2023-01-13,3041.58,Office Supplies,WBMASON,USD,GL-4414,CC-78,mock_enterprise_spend.csv
2023-01-14,981.75,Logistics,UPS,USD,GL-1297,CC-34,mock_enterprise_spend.csv
2023-01-15,32529.45,Professional Services,KPMG,USD,GL-6193,CC-37,mock_enterprise_spend.csv
2023-01-15,2446.05,SaaS,ZENDESK,USD,GL-1420,CC-28,mock_enterprise_spend.csv
2023-01-15,5562.18,Payroll,PAYCHEX,USD,GL-5045,CC-78,mock_enterprise_spend.csv
2023-01-15,43810.18,Marketing,HUBSPOT,USD,GL-9973,CC-51,mock_enterprise_spend.csv
2023-01-15,38421.61,Legal,KIRKLAND & ELLIS,USD,GL-3878,CC-42,mock_enterprise_spend.csv
2023-01-15,7514.83,SaaS,GTLAB,USD,GL-3755,CC-46,mock_enterprise_spend.csv
2023-01-16,170.39,Cloud Infrastructure,DATADOG,USD,GL-9534,CC-25,mock_enterprise_spend.csv
2023-01-16,31776.63,Professional Services,DELOITTE,USD,GL-1722,CC-17,mock_enterprise_spend.csv
2023-01-16,22338.9,Professional Services,KPMG,USD,GL-5134,CC-37,mock_enterprise_spend.csv
2023-01-16,26363.33,Legal,WILSON SONSINI,USD,GL-9830,CC-93,mock_enterprise_spend.csv
2023-01-17,11700.06,Professional Services,SLALOM,USD,GL-9893,CC-47,mock_enterprise_spend.csv
2023-01-17,32596.43,Legal,SKADDEN,USD,GL-1573,CC-20,mock_enterprise_spend.csv
2023-01-17,3462.09,Office Supplies,STAPLES,USD,GL-3299,CC-55,mock_enterprise_spend.csv
2023-01-17,3665.51,SaaS,DOCUSIGN,USD,GL-6763,CC-34,mock_enterprise_spend.csv
2023-01-17,2473.64,Travel & Expenses,MARRIOTT,USD,GL-2465,CC-65,mock_enterprise_spend.csv
2023-01-17,30267.14,Payroll,PAYCHEX,USD,GL-3182,CC-99,mock_enterprise_spend.csv
2023-01-17,38079.78,Marketing,MAILCHIMP,USD,GL-8644,CC-67,mock_enterprise_spend.csv
2023-01-17,2825.36,Travel & Expenses,HILTON,USD,GL-4048,CC-70,mock_enterprise_spend.csv
2023-01-18,3674.51,Office Supplies,STAPLES,USD,GL-2506,CC-84,mock_enterprise_spend.csv
2023-01-18,24681.42,Marketing,MARKETO,USD,GL-6351,CC-79,mock_enterprise_spend.csv
2023-01-18,3132.02,Travel & Expenses,MARRIOTT,USD,GL-8843,CC-37,mock_enterprise_spend.csv
2023-01-18,6583.59,Payroll,PAYCHEX,USD,GL-3562,CC-34,mock_enterprise_spend.csv
2023-01-18,16753.6,Payroll,GUSTO,USD,GL-7774,CC-90,mock_enterprise_spend.csv
2023-01-19,23069.94,Professional Services,DELOITTE,USD,GL-6162,CC-97,mock_enterprise_spend.csv
2023-01-19,102504.68,Payroll,GUSTO,USD,GL-9284,CC-78,mock_enterprise_spend.csv
2023-01-20,3745.13,Office Supplies,WBMASON,USD,GL-7474,CC-61,mock_enterprise_spend.csv
2023-01-20,36745.9,Marketing,LINKEDIN ADS,USD,GL-6903,CC-89,mock_enterprise_spend.csv
2023-01-20,2845.96,Travel & Expenses,LYFT,USD,GL-3381,CC-68,mock_enterprise_spend.csv
2023-01-20,1905.38,Office Supplies,STAPLES,USD,GL-4374,CC-82,mock_enterprise_spend.csv
2023-01-20,33431.37,Professional Services,DELOITTE,USD,GL-7868,CC-22,mock_enterprise_spend.csv
2023-01-20,3584.46,Office Supplies,OFFICE DEPOT,USD,GL-2161,CC-82,mock_enterprise_spend.csv
2023-01-20,30521.89,Legal,COOLEY,USD,GL-5630,CC-83,mock_enterprise_spend.csv
2023-01-21,23800.98,Legal,LATHAM & WATKINS,USD,GL-6915,CC-60,mock_enterprise_spend.csv
2023-01-21,36467.38,Legal,SKADDEN,USD,GL-1425,CC-87,mock_enterprise_spend.csv
2023-01-21,4739.05,Office Supplies,OFFICE DEPOT,USD,GL-4546,CC-85,mock_enterprise_spend.csv
2023-01-21,1709.37,SaaS,SLACK,USD,GL-4052,CC-50,mock_enterprise_spend.csv
2023-01-21,35643.24,Cloud Infrastructure,AZURE,USD,GL-4695,CC-48,mock_enterprise_spend.csv
2023-01-21,17222.78,Professional Services,PWC,USD,GL-9310,CC-85,mock_enterprise_spend.csv
2023-01-21,479.2,Logistics,RYDER,USD,GL-9496,CC-73,mock_enterprise_spend.csv
2023-01-21,743.57,SaaS,DOCUSIGN,USD,GL-3655,CC-38,mock_enterprise_spend.csv
2023-01-22,3809.02,Logistics,MAERSK,USD,GL-1699,CC-89,mock_enterprise_spend.csv
2023-01-22,20487.37,Professional Services,EY,USD,GL-7811,CC-10,mock_enterprise_spend.csv
2023-01-22,3835.81,Logistics,MAERSK,USD,GL-3608,CC-12,mock_enterprise_spend.csv
2023-01-22,25410.89,Professional Services,KPMG,USD,GL-8081,CC-58,mock_enterprise_spend.csv
2023-01-23,1290.88,SaaS,ASANA,USD,GL-1874,CC-43,mock_enterprise_spend.csv
2023-01-23,557.71,Travel & Expenses,MARRIOTT,USD,GL-7364,CC-69,mock_enterprise_spend.csv
2023-01-23,20052.52,Payroll,PAYCHEX,USD,GL-4397,CC-74,mock_enterprise_spend.csv
2023-01-23,26409.52,Legal,COOLEY,USD,GL-8350,CC-98,mock_enterprise_spend.csv
2023-01-23,27805.22,Marketing,FACEBOOK ADS,USD,GL-8843,CC-78,mock_enterprise_spend.csv
2023-01-24,49116.17,Cloud Infrastructure,DATADOG,USD,GL-1314,CC-48,mock_enterprise_spend.csv
2023-01-24,96858.05,Payroll,DEEL,USD,GL-7693,CC-55,mock_enterprise_spend.csv
2023-01-24,2445.9,Travel & Expenses,UNITED,USD,GL-3203,CC-14,mock_enterprise_spend.csv
2023-01-25,811.23,Travel & Expenses,LYFT,USD,GL-6054,CC-50,mock_enterprise_spend.csv
2023-01-25,3210.22,SaaS,SLACK,USD,GL-6152,CC-14,mock_enterprise_spend.csv
2023-01-26,2624.81,Travel & Expenses,HILTON,USD,GL-9154,CC-73,mock_enterprise_spend.csv
2023-01-26,2807.35,Logistics,MAERSK,USD,GL-5455,CC-85,mock_enterprise_spend.csv
2023-01-26,58193.72,Payroll,ADP,USD,GL-9055,CC-51,mock_enterprise_spend.csv
2023-01-26,628.98,SaaS,WORKDAY,USD,GL-7297,CC-60,mock_enterprise_spend.csv
2023-01-26,25384.68,Legal,LATHAM & WATKINS,USD,GL-1138,CC-18,mock_enterprise_spend.csv
2023-01-27,8218.56,Cloud Infrastructure,GOOGLE CLOUD,USD,GL-3668,CC-84,mock_enterprise_spend.csv
2023-01-27,29247.96,Marketing,MARKETO,USD,GL-6259,CC-96,mock_enterprise_spend.csv
2023-01-27,4372.95,Logistics,MAERSK,USD,GL-3189,CC-62,mock_enterprise_spend.csv
2023-01-27,550.18,Office Supplies,AMAZON BUSINESS,USD,GL-7451,CC-81,mock_enterprise_spend.csv
2023-01-27,859.94,Travel & Expenses,LYFT,USD,GL-8489,CC-24,mock_enterprise_spend.csv
2023-01-27,67123.48,Cloud Infrastructure,SNOWFLAKE,USD,GL-7650,CC-65,mock_enterprise_spend.csv
2023-01-27,31403.28,Legal,WILSON SONSINI,USD,GL-5007,CC-58,mock_enterprise_spend.csv
2023-01-27,1098.14,Travel & Expenses,DELTA,USD,GL-3227,CC-94,mock_enterprise_spend.csv
2023-01-27,2624.84,Office Supplies,OFFICE DEPOT,USD,GL-6816,CC-49,mock_enterprise_spend.csv
2023-01-27,4935.13,Office Supplies,AMAZON BUSINESS,USD,GL-2293,CC-50,mock_enterprise_spend.csv
2023-01-28,15235.53,Payroll,PAYCHEX,USD,GL-2835,CC-99,mock_enterprise_spend.csv
2023-01-28,6434.1,Legal,WILSON SONSINI,USD,GL-3010,CC-70,mock_enterprise_spend.csv
2023-01-28,24903.29,Professional Services,DELOITTE,USD,GL-5193,CC-47,mock_enterprise_spend.csv
2023-01-28,1202.28,SaaS,NOTION,USD,GL-4532,CC-68,mock_enterprise_spend.csv
2023-01-28,743.12,Logistics,FEDEX,USD,GL-3593,CC-55,mock_enterprise_spend.csv
2023-01-28,20742.65,Legal,COOLEY,USD,GL-1997,CC-15,mock_enterprise_spend.csv
2023-01-28,28830.74,Marketing,MAILCHIMP,USD,GL-7043,CC-35,mock_enterprise_spend.csv
2023-01-29,1761.05,Logistics,DHL,USD,GL-9720,CC-50,mock_enterprise_spend.csv
2023-01-29,7127.85,Payroll,GUSTO,USD,GL-2581,CC-95,mock_enterprise_spend.csv
2023-01-29,1034.32,SaaS,ASANA,USD,GL-9802,CC-42,mock_enterprise_spend.csv
2023-01-29,2702.72,SaaS,GTLAB,USD,GL-8813,CC-51,mock_enterprise_spend.csv
2023-01-30,1553.49,Logistics,FEDEX,USD,GL-4055,CC-41,mock_enterprise_spend.csv
2023-01-30,22751.2,Legal,KIRKLAND & ELLIS,USD,GL-8796,CC-74,mock_enterprise_spend.csv
2023-01-30,25445.8,Legal,WILSON SONSINI,USD,GL-4393,CC-97,mock_enterprise_spend.csv
2023-01-30,26432.29,Legal,SKADDEN,USD,GL-9856,CC-79,mock_enterprise_spend.csv
2023-01-30,16681.55,Legal,SKADDEN,USD,GL-7352,CC-91,mock_enterprise_spend.csv
2023-01-30,22996.26,Legal,KIRKLAND & ELLIS,USD,GL-8244,CC-38,mock_enterprise_spend.csv
2023-01-30,13470.6,Payroll,ADP,USD,GL-8007,CC-72,mock_enterprise_spend.csv
2023-01-30,4198.67,Logistics,RYDER,USD,GL-7569,CC-91,mock_enterprise_spend.csv
2023-01-30,26538.34,Legal,COOLEY,USD,GL-4481,CC-70,mock_enterprise_spend.csv
2023-01-31,15907.87,Marketing,MAILCHIMP,USD,GL-8414,CC-24,mock_enterprise_spend.csv
2023-01-31,30904.04,Cloud Infrastructure,SNOWFLAKE,USD,GL-2636,CC-66,mock_enterprise_spend.csv
2023-01-31,742.94,Logistics,FEDEX,USD,GL-9941,CC-20,mock_enterprise_spend.csv
2023-01-31,3763.82,Office Supplies,OFFICE DEPOT,USD,GL-7159,CC-48,mock_enterprise_spend.csv
2023-01-31,3054.61,SaaS,SALESFORCE,USD,GL-6757,CC-81,mock_enterprise_spend.csv
2023-02-01,34533.66,Legal,WILSON SONSINI,USD,GL-1246,CC-57,mock_enterprise_spend.csv
2023-02-01,5847.46,Cloud Infrastructure,SNOWFLAKE,USD,GL-7506,CC-21,mock_enterprise_spend.csv
2023-02-01,145.67,Logistics,DHL,USD,GL-7337,CC-96,mock_enterprise_spend.csv
2023-02-01,1230.53,SaaS,WORKDAY,USD,GL-3879,CC-77,mock_enterprise_spend.csv
2023-02-01,1514.75,SaaS,ASANA,USD,GL-8950,CC-64,mock_enterprise_spend.csv
2023-02-01,699.34,SaaS,GTLAB,USD,GL-6544,CC-20,mock_enterprise_spend.csv
2023-02-01,950.54,Logistics,UPS,USD,GL-1369,CC-20,mock_enterprise_spend.csv
2023-02-01,163904.32,Payroll,PAYCHEX,USD,GL-5002,CC-77,mock_enterprise_spend.csv
2023-02-01,45068.85,SaaS,DOCUSIGN,USD,GL-7522,CC-26,mock_enterprise_spend.csv
2023-02-02,2718.52,Logistics,DHL,USD,GL-1379,CC-27,mock_enterprise_spend.csv
2023-02-02,35647.05,Legal,COOLEY,USD,GL-8322,CC-20,mock_enterprise_spend.csv
2023-02-02,1477.26,SaaS,HUBSPOT,USD,GL-6206,CC-72,mock_enterprise_spend.csv
2023-02-02,9986.82,Marketing,MARKETO,USD,GL-8751,CC-94,mock_enterprise_spend.csv
2023-02-02,2565.47,SaaS,NOTION,USD,GL-7440,CC-10,mock_enterprise_spend.csv
2023-02-02,203.41,SaaS,ZENDESK,USD,GL-2502,CC-21,mock_enterprise_spend.csv
2023-02-02,16703.86,Legal,LATHAM & WATKINS,USD,GL-2590,CC-18,mock_enterprise_spend.csv
2023-02-03,3416.7,Office Supplies,AMAZON BUSINESS,USD,GL-8612,CC-94,mock_enterprise_spend.csv
2023-02-03,414818.13,Cloud Infrastructure,DATADOG,USD,GL-4448,CC-56,mock_enterprise_spend.csv
2023-02-03,3340.46,Logistics,MAERSK,USD,GL-2047,CC-15,mock_enterprise_spend.csv
2023-02-03,4185.01,Payroll,PAYCHEX,USD,GL-4546,CC-62,mock_enterprise_spend.csv
2023-02-03,31641.53,Professional Services,PWC,USD,GL-1081,CC-77,mock_enterprise_spend.csv
2023-02-03,27759.56,Professional Services,ACCENTURE,USD,GL-2059,CC-67,mock_enterprise_spend.csv
2023-02-03,23088.95,Legal,KIRKLAND & ELLIS,USD,GL-4987,CC-37,mock_enterprise_spend.csv
2023-02-03,17266.6,Marketing,HUBSPOT,USD,GL-2930,CC-28,mock_enterprise_spend.csv
2023-02-04,3176.99,SaaS,HUBSPOT,USD,GL-7735,CC-48,mock_enterprise_spend.csv
2023-02-04,51902.0,Cloud Infrastructure,AWS,USD,GL-1414,CC-29,mock_enterprise_spend.csv
2023-02-04,78415.52,Payroll,RIPPLING,USD,GL-1462,CC-74,mock_enterprise_spend.csv
2023-02-04,41248.03,Marketing,FACEBOOK ADS,USD,GL-3661,CC-60,mock_enterprise_spend.csv
2023-02-05,11757.05,Legal,COOLEY,USD,GL-7769,CC-85,mock_enterprise_spend.csv
2023-02-05,38779.16,Payroll,GUSTO,USD,GL-1610,CC-41,mock_enterprise_spend.csv
2023-02-05,41548.43,Marketing,HUBSPOT,USD,GL-7412,CC-66,mock_enterprise_spend.csv
2023-02-06,4827.34,Logistics,MAERSK,USD,GL-3855,CC-53,mock_enterprise_spend.csv
2023-02-06,35830.98,Legal,COOLEY,USD,GL-1719,CC-31,mock_enterprise_spend.csv
2023-02-06,2413.04,Cloud Infrastructure,SNOWFLAKE,USD,GL-3252,CC-43,mock_enterprise_spend.csv
2023-02-06,163.29,SaaS,SLACK,USD,GL-8343,CC-68,mock_enterprise_spend.csv
2023-02-07,10995.68,Cloud Infrastructure,SNOWFLAKE,USD,GL-4578,CC-26,mock_enterprise_spend.csv
2023-02-07,2180.01,Travel & Expenses,DELTA,USD,GL-3401,CC-64,mock_enterprise_spend.csv
2023-02-07,34385.0,Legal,LATHAM & WATKINS,USD,GL-6935,CC-93,mock_enterprise_spend.csv
2023-02-07,4821.89,Logistics,UPS,USD,GL-1418,CC-23,mock_enterprise_spend.csv
2023-02-07,366.81,SaaS,SALESFORCE,USD,GL-1855,CC-47,mock_enterprise_spend.csv
2023-02-07,4854.85,Logistics,DHL,USD,GL-6636,CC-55,mock_enterprise_spend.csv
2023-02-08,22923.63,Professional Services,ACCENTURE,USD,GL-3320,CC-55,mock_enterprise_spend.csv
2023-02-08,1194.78,SaaS,ZENDESK,USD,GL-2385,CC-21,mock_enterprise_spend.csv
2023-02-08,4824.16,Office Supplies,AMAZON BUSINESS,USD,GL-9045,CC-12,mock_enterprise_spend.csv
2023-02-08,52253.21,Payroll,PAYCHEX,USD,GL-1201,CC-13,mock_enterprise_spend.csv
2023-02-08,2702.35,Office Supplies,AMAZON BUSINESS,USD,GL-5534,CC-18,mock_enterprise_spend.csv
2023-02-08,11652.39,Legal,LATHAM & WATKINS,USD,GL-7532,CC-90,mock_enterprise_spend.csv
2023-02-08,8777.6,Payroll,DEEL,USD,GL-2456,CC-52,mock_enterprise_spend.csv
2023-02-08,8363.58,Payroll,DEEL,USD,GL-7876,CC-36,mock_enterprise_spend.csv
2023-02-08,30654.29,Payroll,DEEL,USD,GL-1760,CC-39,mock_enterprise_spend.csv
2023-02-09,1712.69,Marketing,MAILCHIMP,USD,GL-8849,CC-70,mock_enterprise_spend.csv
2023-02-09,1057.5,Travel & Expenses,MARRIOTT,USD,GL-5170,CC-41,mock_enterprise_spend.csv
2023-02-09,18936.06,Legal,KIRKLAND & ELLIS,USD,GL-5009,CC-42,mock_enterprise_spend.csv
2023-02-09,20757.94,Professional Services,DELOITTE,USD,GL-2167,CC-49,mock_enterprise_spend.csv
2023-02-09,613.5,Travel & Expenses,MARRIOTT,USD,GL-3182,CC-91,mock_enterprise_spend.csv
2023-02-10,1359.94,Office Supplies,STAPLES,USD,GL-3494,CC-78,mock_enterprise_spend.csv
2023-02-10,544.03,SaaS,DOCUSIGN,USD,GL-8055,CC-24,mock_enterprise_spend.csv
2023-02-10,27977.96,Marketing,LINKEDIN ADS,USD,GL-9901,CC-20,mock_enterprise_spend.csv
2023-02-10,34666.27,Cloud Infrastructure,AZURE,USD,GL-9967,CC-45,mock_enterprise_spend.csv
2023-02-10,32024.42,Marketing,GOOGLE ADS,USD,GL-7376,CC-37,mock_enterprise_spend.csv
2023-02-10,1634.25,Logistics,RYDER,USD,GL-9376,CC-81,mock_enterprise_spend.csv
2023-02-10,3945.77,Cloud Infrastructure,GOOGLE CLOUD,USD,GL-7513,CC-24,mock_enterprise_spend.csv
2023-02-10,26512.89,Professional Services,KPMG,USD,GL-9107,CC-45,mock_enterprise_spend.csv
2023-02-10,2117.92,Logistics,RYDER,USD,GL-4476,CC-77,mock_enterprise_spend.csv
2023-02-11,4073.99,SaaS,GTLAB,USD,GL-1776,CC-71,mock_enterprise_spend.csv
2023-02-11,636.59,Logistics,RYDER,USD,GL-9761,CC-78,mock_enterprise_spend.csv
2023-02-11,15579.77,Professional Services,KPMG,USD,GL-9625,CC-38,mock_enterprise_spend.csv
2023-02-11,15824.33,Professional Services,DELOITTE,USD,GL-9677,CC-63,mock_enterprise_spend.csv
2023-02-12,346.72,Logistics,UPS,USD,GL-8043,CC-61,mock_enterprise_spend.csv
2023-02-12,21027.0,Cloud Infrastructure,AWS,USD,GL-4643,CC-26,mock_enterprise_spend.csv
2023-02-12,22105.51,Legal,WILSON SONSINI,USD,GL-9982,CC-63,mock_enterprise_spend.csv
2023-02-12,7029.63,Payroll,PAYCHEX,USD,GL-2636,CC-70,mock_enterprise_spend.csv
2023-02-12,8963.69,Cloud Infrastructure,DATADOG,USD,GL-9084,CC-40,mock_enterprise_spend.csv
2023-02-12,43001.78,Marketing,MAILCHIMP,USD,GL-5822,CC-69,mock_enterprise_spend.csv
2023-02-13,1415.05,Office Supplies,STAPLES,USD,GL-4205,CC-43,mock_enterprise_spend.csv
2023-02-13,24608.82,Professional Services,PWC,USD,GL-2759,CC-10,mock_enterprise_spend.csv
2023-02-13,2828.77,Payroll,GUSTO,USD,GL-3228,CC-45,mock_enterprise_spend.csv
2023-02-13,83748.6,Payroll,ADP,USD,GL-4896,CC-30,mock_enterprise_spend.csv
2023-02-13,296.81,Payroll,GUSTO,USD,GL-9218,CC-76,mock_enterprise_spend.csv
2023-02-13,247.62,Logistics,UPS,USD,GL-4121,CC-62,mock_enterprise_spend.csv
2023-02-14,1164.17,Cloud Infrastructure,DATADOG,USD,GL-5055,CC-19,mock_enterprise_spend.csv
2023-02-14,1330.42,SaaS,ZENDESK,USD,GL-1876,CC-36,mock_enterprise_spend.csv
2023-02-14,18007.38,Cloud Infrastructure,AWS,USD,GL-7358,CC-96,mock_enterprise_spend.csv
2023-02-14,859.44,Logistics,FEDEX,USD,GL-2584,CC-13,mock_enterprise_spend.csv
2023-02-14,488.04,Travel & Expenses,LYFT,USD,GL-4695,CC-91,mock_enterprise_spend.csv
2023-02-14,203.23,Office Supplies,AMAZON BUSINESS,USD,GL-3458,CC-58,mock_enterprise_spend.csv
2023-02-14,13977.87,Cloud Infrastructure,SNOWFLAKE,USD,GL-1670,CC-37,mock_enterprise_spend.csv
2023-02-15,2345.31,Office Supplies,WBMASON,USD,GL-7457,CC-88,mock_enterprise_spend.csv
2023-02-15,4282.12,Office Supplies,AMAZON BUSINESS,USD,GL-8306,CC-11,mock_enterprise_spend.csv
